,bat_team_Chennai Super Kings,bat_team_Delhi Daredevils,bat_team_Kings XI Punjab,bat_team_Kolkata Knight Riders,bat_team_Mumbai Indians,bat_team_Rajasthan Royals,bat_team_Royal Challengers Bangalore,bat_team_Sunrisers Hyderabad,bowl_team_Chennai Super Kings,bowl_team_Delhi Daredevils,bowl_team_Kings XI Punjab,bowl_team_Kolkata Knight Riders,bowl_team_Mumbai Indians,bowl_team_Rajasthan Royals,bowl_team_Royal Challengers Bangalore,bowl_team_Sunrisers Hyderabad,overs,runs,wickets,runs_last_5,wickets_last_5
95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.2,155,2,57,1
96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.3,157,2,59,1
97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.4,157,2,55,1
98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.5,158,2,56,1
99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.6,158,2,50,1
100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.1,159,2,49,1
101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.2,161,2,50,1
102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.3,162,2,51,1
103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.4,168,2,56,1
104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.5,170,2,58,0
105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16.6,172,2,56,0
106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.1,172,3,56,1
107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.2,173,3,55,1
108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.3,173,3,54,1
109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.4,174,3,51,1
110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.5,178,3,54,1
111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.6,179,3,54,1
112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.1,185,3,60,1
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.2,185,3,59,1
114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.3,191,3,64,1
115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.4,195,3,67,1
116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.5,196,3,66,1
117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.6,200,3,66,1
118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19.1,206,3,71,1
119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19.2,212,3,71,1
120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19.3,214,3,69,1
121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19.4,214,3,67,1
